ind,timestamp,point_value
0,2019-01-01 00:00:00.000000000,-0.1048191252947771
1,2019-01-03 17:55:29.323308270,26.794746764000873
2,2019-01-06 11:50:58.646616541,51.25294743008127
3,2019-01-09 05:46:27.969924812,73.14356949847641
4,2019-01-11 23:41:57.293233082,102.06142284941106
5,2019-01-14 17:37:26.616541353,125.78543819993376
6,2019-01-17 11:32:55.939849624,149.55532664883427
7,2019-01-20 05:28:25.263157894,173.70198434599735
8,2019-01-22 23:23:54.586466165,203.11795523138994
9,2019-01-25 17:19:23.909774436,225.48370164652616
10,2019-01-28 11:14:53.233082707,250.5152146057455
11,2019-01-31 05:10:22.556390977,274.1584898512241
12,2019-02-02 23:05:51.879699248,304.72649106378475
13,2019-02-05 17:01:21.203007519,324.2404079144082
14,2019-02-08 10:56:50.526315789,351.76338614248124
15,2019-02-11 04:52:19.849624060,372.7832865950686
16,2019-02-13 22:47:49.172932331,405.1172081170261
17,2019-02-16 16:43:18.496240601,423.1821705938965
18,2019-02-19 10:38:47.819548872,451.3121564903654
19,2019-02-22 04:34:17.142857143,473.58170609156787
20,2019-02-24 22:29:46.466165414,505.3366009222137
21,2019-02-27 16:25:15.789473684,522.1963415840272
22,2019-03-02 10:20:45.112781955,553.0987905369317
23,2019-03-05 04:16:14.436090226,574.7361412005221
24,2019-03-07 22:11:43.759398496,606.0477081222998
25,2019-03-10 16:07:13.082706767,622.4056004457024
26,2019-03-13 10:02:42.406015038,654.3899712520627
27,2019-03-16 03:58:11.729323309,675.2608054168011
28,2019-03-18 21:53:41.052631579,706.102434287489
29,2019-03-21 15:49:10.375939850,721.0635280835039
30,2019-03-24 09:44:39.699248121,755.5557786390002
31,2019-03-27 03:40:09.022556391,775.5331186249265
32,2019-03-29 21:35:38.345864662,806.0424040658594
33,2019-04-01 15:31:07.669172933,821.5382407976338
34,2019-04-04 09:26:36.992481203,856.2632921268587
35,2019-04-07 03:22:06.315789474,875.4840053398468
36,2019-04-09 21:17:35.639097745,905.9523975115608
37,2019-04-12 15:13:04.962406015,921.7783253669984
38,2019-04-15 09:08:34.285714286,957.0200974070506
39,2019-04-18 03:04:03.609022556,975.0446680779233
40,2019-04-20 20:59:32.932330828,1005.0731531053019
41,2019-04-23 14:55:02.255639098,1021.6180684278703
42,2019-04-26 08:50:31.578947368,1058.122708416024
43,2019-04-29 02:46:00.902255640,1075.365929867844
44,2019-05-01 20:41:30.225563910,1105.1456098969293
45,2019-05-04 14:36:59.548872180,1123.5935688390323
46,2019-05-07 08:32:28.872180452,1158.921719865941
47,2019-05-10 02:27:58.195488722,1173.6141288810202
48,2019-05-12 20:23:27.518796992,1204.5359862281105
49,2019-05-15 14:18:56.842105264,1224.6606519585537
50,2019-05-18 08:14:26.165413534,1258.6111695255656
51,2019-05-21 02:09:55.488721806,1274.1978151020794
52,2019-05-23 20:05:24.812030076,1304.8679657437679
53,2019-05-26 14:00:54.135338346,1324.5816219922215
54,2019-05-29 07:56:23.458646618,1358.5124430039275
55,2019-06-01 01:51:52.781954888,1373.8609683316413
56,2019-06-03 19:47:22.105263158,1405.4709299231988
57,2019-06-06 13:42:51.428571430,1427.2025887697587
58,2019-06-09 07:38:20.751879700,1457.6197228359945
59,2019-06-12 01:33:50.075187970,1474.323812871927
60,2019-06-14 19:29:19.398496242,1505.3706535037913
61,2019-06-17 13:24:48.721804512,1529.0507007816127
